"","variable","mean","median","sd","mad","q5","q95","rhat","ess_bulk","ess_tail"
"124","a_psu[107]",-0.0252640041475,-0.0261014,1.02349810794029,0.97519705164,-1.689433,1.6402405,1.00450599535327,2350.16559128063,1259.42672518946
"125","a_psu[108]",-0.049486329808,-0.05709915,0.965466490008683,0.9540101046,-1.6295535,1.533903,1.00053872357157,2156.13996372779,1632.5740320163
"126","a_psu[109]",-0.053856320882,-0.04248085,0.98631002661256,0.97940756151,-1.713542,1.534875,1.00053417681803,2465.06525072349,1135.93705535845
"127","a_psu[110]",-0.0173241087475,-0.02063825,1.01239936137095,1.02343173765,-1.7060555,1.5845215,0.99983810835702,3946.53181137515,1544.48532788588
"128","a_psu[111]",-0.018998041682,-0.0287236,0.967596111394925,0.94726709154,-1.5670205,1.585349,1.00477254975462,3103.08047509658,1417.26823246899
"129","a_psu[112]",0.0698213769175,0.0879817,0.983619598741564,0.99568791798,-1.5567145,1.638144,1.0032707648151,3510.19368787891,1226.20100151723
"130","a_psu[113]",-0.085274207691,-0.0652188,0.996065230422741,1.0096565304,-1.7358825,1.5136245,1.00201016184762,2869.71962830723,1585.93558395293
"131","a_psu[114]",-0.0408480114435,-0.0718154,0.974815107083966,0.98346402924,-1.5902015,1.6322115,1.00271730403739,2883.57037655407,1464.57577804353
"132","a_psu[115]",0.0753143555765,0.05984085,1.00984598604897,1.0005074058,-1.5539375,1.757055,1.00271856883231,3990.71834355853,1563.30132134645
"133","a_psu[116]",0.000513433169499999,-0.0020609455,1.00386987130767,1.0083118122,-1.6174915,1.6531805,1.00718109759213,5809.82738552081,1061.35595241578
"134","a_psu[117]",-0.04163249966,-0.04939665,1.03659350480147,1.0444968891,-1.7361925,1.6652125,1.00116645925808,3626.02349773897,1347.7237176672
"135","a_psu[118]",0.27470695218,0.271596,1.02413290577026,0.9645298929,-1.455453,1.9455015,1.001129473989,3635.92436489549,1297.58900745304
"136","a_psu[119]",-0.1145965253495,-0.1158695,0.962090776918773,0.9726360084,-1.677441,1.4610075,1.00033111903434,3323.89767050976,1517.40346121682
"137","a_psu[120]",-0.0785408556195,-0.09745745,1.00095882569252,0.95755507533,-1.7200215,1.5889585,1.00309519965216,2583.97182817148,1341.31147658589
"138","a_psu[121]",0.2073910614615,0.2135785,1.03743102821669,1.0478927844,-1.5001405,1.894971,1.00170266781504,3878.13518345347,1365.02058695488
"139","a_psu[122]",-0.07947014672335,-0.078297,0.998381527190896,0.9835976115,-1.679697,1.5130475,1.00343927331657,2878.9882530656,1106.6391772396
"140","a_psu[123]",-0.0887298280455,-0.08673745,1.01626172289574,1.0058959155,-1.6951965,1.567455,1.00377510869422,3233.1175336197,1315.5138457935
"141","a_psu[124]",-0.039436882535,-0.002606755,1.02842878750588,1.042113972837,-1.7723625,1.65938,1.0016791412988,2409.19639673361,1288.15385847104
"142","a_psu[125]",-0.0892913521715,-0.105174,1.03427415915339,1.0201496319,-1.746478,1.5991805,1.00218513876327,3285.77677904118,1335.75466086043
"143","a_psu[126]",-0.0015555892669,-0.005251245,0.991665008493176,0.9854197269,-1.614411,1.614116,1.00148894070932,4182.40830326504,1522.82765293663
"144","a_psu[127]",-0.0539331141685,-0.0522211,0.989715791486824,0.97095459174,-1.675791,1.6301705,1.0005299858551,3267.55793908627,1185.52216916977
"145","a_psu[128]",0.00109442514545,-0.010054915,0.967270280237408,0.905597158179,-1.604068,1.60735,0.999855023673215,2254.67179312351,1226.31790936299
"146","a_psu[129]",-0.0539426428295,-0.0722603,1.0099151836143,1.00177621488,-1.7270595,1.601328,1.0024571984246,2458.21313277297,1326.18000491553
"147","a_psu[130]",-0.015528441399,-0.03210755,0.966100464052295,0.97473618543,-1.578695,1.6014275,1.00013545394806,2834.06143747903,1135.68340074648
