"","variable","mean","median","sd","mad","q5","q95","rhat","ess_bulk","ess_tail"
"79","a_psu[61]",-0.306263270111,-0.3286225,0.976602481551449,0.9533258847,-1.876247,1.3141725,1.00139118254676,4997.32975463128,1529.25315826835
"80","a_psu[62]",0.3229758978765,0.299271,0.875334315697673,0.8630689032,-1.0887,1.750565,1.0004432084104,2267.80705299527,1207.39264065915
"81","a_psu[63]",-0.0325733393827,-0.0117767,0.980815692333481,0.9748043109,-1.6328705,1.5401805,1.00387762151747,3532.85199739688,1531.8318986777
"82","a_psu[64]",0.1270860951005,0.132902,0.920624789067027,0.896632002,-1.393814,1.6226365,1.00059694243091,3919.02091774746,1550.22518096805
"83","a_psu[65]",0.121733558945,0.1461995,0.904654857515397,0.8943680718,-1.335424,1.5658725,1.00311975595413,3328.28021759705,1298.64149150351
"84","a_psu[66]",-0.251619232147,-0.2438075,0.985766813064059,1.0127188407,-1.8626145,1.3733405,1.00390495336114,4548.75548980845,1492.9210992264
"85","a_psu[67]",0.1307687429765,0.1318065,0.833855134405231,0.8507492385,-1.2229635,1.481381,1.00072181415384,3955.05763232146,1480.13923158164
"86","a_psu[68]",0.0027499368995,0.0125289,0.930874736517924,0.950583816,-1.53893,1.508009,1.00086361455543,3545.30663438348,1641.49585656258
"87","a_psu[69]",0.093516374505,0.1022265,0.894147823956231,0.8840321259,-1.415522,1.589469,1.00161010851964,5072.21845661771,1540.8124829537
"88","a_psu[70]",0.1014370969045,0.1186555,0.947928037398934,0.976418121,-1.4236775,1.602933,0.99886785151895,2983.96019731524,1474.71107455526
"89","a_psu[71]",-0.14730804954,-0.123146,0.950057512359156,0.9864227058,-1.641019,1.3187735,1.00330432288297,3522.04820292098,1309.38135887276
"90","a_psu[72]",-0.0541265889705,-0.0350389,0.983167311640846,0.96170865336,-1.645597,1.514032,1.00442733027533,3097.74741886732,1437.64643687927
"91","a_psu[73]",0.059852225345,0.1057685,0.961869662401525,0.9811891278,-1.5144465,1.5519195,1.00626049348698,3640.59569977718,1340.40912010589
"92","a_psu[74]",-0.244632469924,-0.249439,0.93314737958952,0.9690607185,-1.8173605,1.2746045,1.00353495341902,1946.88250530806,1559.80431713021
"93","a_psu[75]",-0.0951178136581,-0.0626366,0.871010257227736,0.8959166475,-1.5139,1.2863795,1.00210335503047,4126.79326828444,1603.11745803633
"94","a_psu[76]",0.4909499519,0.499028,0.938562884699515,0.9102170658,-1.103396,2.0659845,1.00367691226124,3606.2656703429,1360.58605978454
"95","a_psu[77]",-0.135598103606,-0.1386425,0.934437001649213,0.9162705216,-1.663622,1.441447,1.00120311969006,5409.10202786246,1234.39942168895
"96","a_psu[78]",0.203142087286,0.212587,0.983575092398087,1.0312943361,-1.4285685,1.8291985,1.00591855397295,4088.24710929122,1461.60135412635
"97","a_psu[79]",1.0147936587635,1.00308,0.950529287505741,0.9428705895,-0.53210955,2.615772,1.00171353962531,3445.64053245364,1637.0362141975
"98","a_psu[80]",0.86608660925,0.861418,0.900862954775627,0.8980041483,-0.54722205,2.2966575,1.0086396363078,4095.15994244301,1439.45508654381
"99","a_psu[81]",0.212469881289,0.225787,0.874478805190591,0.8679333138,-1.260677,1.6108295,1.00196579608819,3153.02986360551,1345.27391082407
"100","a_psu[82]",-0.250381583302,-0.2585915,0.962062550539633,0.9873434004,-1.836053,1.3490685,1.0026731301592,4376.58083296763,1597.9737906412
"101","a_psu[83]",-0.220607335757,-0.221454,0.962387845480318,0.9314130567,-1.778371,1.384318,1.00010054450928,4369.89297626127,1518.22501337444
"102","a_psu[84]",-0.1351839096785,-0.1339585,0.985850264624968,0.969057012,-1.787721,1.4888705,1.00198218706666,3122.77608109027,1474.86408898507
